Emerging market by exchanges,,
,,
,,Domicile
B06KS3,Balrampur Chini Mills Ltd,INDIA
B3TQYN,Balticon SA,POLAND
B596Q5,Baltika Breweries OJSC,RUSSIA
B03G1P,Balurghat Technologies Limited,INDIA
638350,Bambino Agro Industries Limited,INDIA
207982,Bamerindus Sa Part Com Npv,BRAZIL
B0MRY2,Bampsl Securities Limited,INDIA
607067,Ban Hin Lee Bank,MALAYSIA
632687,Banaras Beads Limited,INDIA
B6SB6Z,Banas Finance Ltd,INDIA
239962,Banca Quadrum Ser'O'Mxn9.041482,MEXICO
B23DMP,Banco ABC Brasil SA Conv Pfd,BRAZIL
208427,Banco Alfa de Investimentos SA Pfd,BRAZIL
224612,Banco AV Villas SA,COLOMBIA
206937,Banco Bamerindus Brasil SA,BRAZIL
208080,Banco Bec S/A Prf Npv,BRAZIL
208058,Banco Beg S.A. Com Npv,BRAZIL
201813,"Banco Bilbao Vizcaya Argentaria, Chile SA",CHILE
B00FM5,Banco Bradesco SA Pfd,BRAZIL
B45HD2,Banco BTG Pactual S.A.,BRAZIL
B1YWHK,Banco Cruzeiro Do Sul Pn,BRAZIL
207961,Banco da Amazonia S.A.,BRAZIL
B4KC97,Banco Davivienda SA Pfd,COLOMBIA
B1Z2WS,Banco Daycoval SA Pfd,BRAZIL
207503,Banco de Bogota SA,COLOMBIA
210084,Banco de Chile,CHILE
B04986,Banco de Comercio SA,PERU
206785,Banco de Credito del Peru SA,PERU
206935,Banco de Credito e Inversiones,CHILE
BBX4W9,Banco de Occidente SA,COLOMBIA
207379,Banco Del Trabajo Cles100,CHILE
232859,Banco do Brasil S.A.,BRAZIL
207429,Banco do Estado de Sao Paulo SA,BRAZIL
208082,Banco do Estado de Sergipe SA - Banese Pfd,BRAZIL
208086,Banco do Estado do Para SA,BRAZIL
207062,Banco do Nordeste do Brasil SA Pfd,BRAZIL
207380,Banco Espanol De C Cles100,CHILE
B23F8S,Banco Estado do Rio Grande do Sul SA Pfd  B,BRAZIL
208516,Banco Financiero del Peru Pfd,PERU
B1G3YS,Banco GNB Peru SA,PERU
B284ZP,Banco Industrial e Comercial SA BICBanco Pfd,BRAZIL
B236Z6,Banco Indusval S.A. Pfd,BRAZIL
B00HR7,Banco Interamericano de Finanzas,PERU
202676,Banco Internacional del Peru SAA Interbank,PERU
208030,Banco Latino,PERU
207045,Banco Mercantil de Investimentos SA Pfd,BRAZIL
208057,Banco Mercantil do Brasil SA Pfd,BRAZIL
207578,Banco Nacional Pn,BRAZIL
B0MJJM,Banco Nossa Caixa S.A.,BRAZIL
207381,Banco O'Higgins,CHILE
B2940Z,Banco Panamericano SA Pfd,BRAZIL
B1VK14,Banco Pine SA Pfd,BRAZIL
207122,Banco Popular SA Bogota,COLOMBIA
B03G1S,Banco Products (India) Limited,INDIA
208014,Banco Real On,BRAZIL
207010,Banco Real Pn,BRAZIL
208674,Banco Ripley Peru SA,PERU
207567,Banco Santander Colombia,COLOMBIA
200025,Banco Santander-Chile,CHILE
B1W1J8,Banco Sofisa Sa Pfd,BRAZIL
210239,Bancolombia S.A.,COLOMBIA
207230,Bancomer Snc Ser'Bcp'Npv,MEXICO
607490,Bandar Raya Developments Berhad,MALAYSIA
219342,Bandeir Armaz (Cia Com Npv,BRAZIL
223059,Bandeirante Energia SA (Old) Pref,BRAZIL
644925,Baneng Holdings Be Myr1,MALAYSIA
208019,Banestes S.A. - Banco do Estado do Espirito Santo,BRAZIL
B2NXW7,Bang Overseas Limited,INDIA
607498,Bangchak Petroleum Public Co. Ltd.,THAILAND
607521,Bangkok Agro Industrial Products Co. Ltd.,THAILAND
652758,Bangkok Aviation Fuel Services Public Co. Ltd.,THAILAND
607700,Bangkok Bank Public Co. Ltd.,THAILAND
607519,Bangkok Bk Of Comm Thb0.5,THAILAND
B7Z071,"Bangkok Chain Hospital Public Co., Ltd.",THAILAND
BF319X,Bangkok Dec-Con PCL,THAILAND
B013SS,Bangkok Dusit Medical Services Public Co. Ltd.,THAILAND
611330,Bangkok Expressway Public Co. Ltd.,THAILAND
B0PHJL,"Bangkok First Investment & Trust Public Co., Ltd.",THAILAND
607897,Bangkok Insurance Public Co. Ltd.,THAILAND
671290,Bangkok Land Public Co. Ltd.,THAILAND
B2R7SH,"Bangkok Life Assurance Public Co., Ltd.",THAILAND
B1FJ0K,Bangkok Metro Public Co. Ltd.,THAILAND
615682,Bangkok Metropolitan Bank PCL,THAILAND
607520,Bangkok Produce Merchandising PCL,THAILAND
611421,Bangkok Ranch Ltd Thb10(Local),THAILAND
607676,Bangkok Rubber Public Co. Ltd.,THAILAND
607454,Bangkok Steel Thb10(Local),THAILAND
607471,Bangkok Union Insurance Public Co. Ltd.,THAILAND
665838,"Bangpakong Terminal Public Co., Ltd.",THAILAND
B05MB6,Bangsaphan Barmill Public Co. Ltd.,THAILAND
657143,Bank Buana Indonesia,INDONESIA
B5WHZF,Bank Gospodarki Zywnosciowej Spolka Akcyjna,POLAND
525606,Bank Handlowy w Warszawie S.A.,POLAND
407732,Bank Millennium SA,POLAND
516675,Bank Ochrony Srodowiska S.A.,POLAND
B1CW3G,Bank of Alexandria,EGYPT
607593,"Bank of Ayudhya Public Co., Ltd.",THAILAND
609977,Bank of Baroda,INDIA
B249NZ,"Bank of Beijing Co., Ltd. Class A",CHINA
609978,Bank of India,INDIA
611646,Bank of Kaohsiung Ltd.,TAIWAN
B00PVH,Bank of Maharashtra,INDIA
B00FMG,Bank of Moscow JSC,RUSSIA
B232ZB,"Bank of Nanjing Co., Ltd. Class A",CHINA
613965,Bank of Overseas Chinese,TAIWAN
615263,Bank of Rajasthan,INDIA
B0MLBF,Bank of Sharjah,UNITED ARAB EMIRATES
B29LWR,Bank of Taipei,TAIWAN
607496,Bank of the Philippine Islands,PHILIPPINES
547311,Bank Pekao SA,POLAND
B596S8,Bank UralSib OJSC,RUSSIA
B596ST,Bank Vozrozhdeniye OJSC,RUSSIA
715363,Bank Zachodni WBK S.A.,POLAND
B8Y29H,Bankard Inc.,PHILIPPINES
B16DX2,Bankier.Pl Sa Pln1,POLAND
728887,Banku BPH S.A.,POLAND
207376,Banmedica S.A.,CHILE
B0MT4D,Bannari Amman Spinning Mills Limited,INDIA
607772,Bannari Amman Sugars Limited,INDIA
B77G3V,Banorem SA de CV,MEXICO
BDSTDP,Banpu Public Co. Ltd.,THAILAND
B01J1K,Banque Centrale Populaire SA,MOROCCO
607734,Banque Marocaine pour le Commerce et l'Industrie,MOROCCO
B6QL9F,BanRegio Grupo Financiero SA de CV Class O,MEXICO
637368,Banswara Syntex Ltd,INDIA
240634,Banvida S.A.,CHILE
B03MPP,Banvit Bandirma Vitaminli Yem Sanayii A.S.,TURKEY
607753,Bao-Chen Const Twd10,TAIWAN
678397,"Baocheng Investment Co., Ltd. Class A",CHINA
633410,"Baoding Tianwei Baobian Electric Co., Ltd. Class A",CHINA
652788,"Baoji Titanium Industry Co., Ltd. Class A",CHINA
630795,"Baoshan Iron & Steel Co., Ltd. Class A",CHINA
B0225Q,Baosheng Science & Technology Innovation Co. Ltd. Class A,CHINA
610196,Baotek Industrial Materials Ltd.,TAIWAN
B081SD,Baotou Aluminium C 'A'Cny1,CHINA
B0148Q,"Baotou Beifang Chuangye Co., Ltd. Class A",CHINA
613386,"Baotou Huazi Industry Co., Ltd. Class A",CHINA
600819,"Baotou Tomorrow Technology Co., Ltd. Class A",CHINA
B1MGRX,Barak Valley Cements Limited,INDIA
B3D2FW,Barakah Offshore Petroleum Bhd.,MALAYSIA
B844WD,Barclays Africa Group Limited,SOUTH AFRICA
208167,Bardella SA Industrias Mecanicas Pfd,BRAZIL
B0LCZ3,Barlinek S.A.,POLAND
607912,Barloworld Limited,SOUTH AFRICA
610190,Barnard Jacobs Mel Zar0.01,SOUTH AFRICA
607947,Barnato Expl Zar0.01,SOUTH AFRICA
B8FDBZ,Baroda Extrusion Limited,INDIA
609211,Baroda Rayon Corp Ltd,INDIA
B03DPR,Baron Infotech Ltd.,INDIA
608013,Baroque Furniture Krw5000,SOUTH KOREA
608025,Barplats Inv Zar0.01,SOUTH AFRICA
612567,Barprop Limited Lkd Uts(Zar0.01&Zar,SOUTH AFRICA
B0WCPZ,Bartronics India Limited,INDIA
656832,"Barun Electronics Co., Ltd",SOUTH KOREA
B19MY9,"Barunson Co., Ltd.",SOUTH KOREA
616809,Barunson Games Corporation,SOUTH KOREA
B0YTG2,Barwa Real Estate Co.,QATAR
642376,Basant Agro Tech (India) Limited,INDIA
615261,BASF India Limited,INDIA
B5BHRP,Bashinformsvyaz OJSC,RUSSIA
B5BHTW,Bashkirenergo JSC,RUSSIA
B5B5C1,Bashneft OJSC,RUSSIA
607251,Basic Energy Corporation,PHILIPPINES
B03MGJ,Basil Infrastructure Projects Limited,INDIA
608218,Basil Read Holdings Limited,SOUTH AFRICA
614111,Basso Industry Corp. Ltd.,TAIWAN
B7MHK0,Bastas Baskent Cimento Sanayi ve Ticaret AS,TURKEY
658171,Baswell Resources Myr1,MALAYSIA
608707,Bat Indonesia Idr1000,INDONESIA
208354,Bata Chile Sa Npv,CHILE
612470,Bata India Ltd,INDIA
608382,Bata Shoe(Thai) Thb10(Local),THAILAND
608281,Bateman Industrial Zar0.000625,SOUTH AFRICA
689251,Bateman Project Hl Zar0.001,SOUTH AFRICA
B03MPQ,Baticim Bati Anadolu Cimento Sanayii A.g.,TURKEY
B03MPR,Batisoeke Soeke Cimento Sanayii T.A.S.,TURKEY
640660,Batliboi Limited,INDIA
207735,Battistella Administracao e Participacoes SA,BRAZIL
608462,Batu Kawan Bhd.,MALAYSIA
609437,Bauba Platinum Limited,SOUTH AFRICA
B831BX,Baumal Group SA,POLAND
B09K88,Baumer SA BALM Pfd,BRAZIL
B73YVK,"Bay Zu Precision Co., Ltd.",TAIWAN
671699,Bayer Cropscience India Limited,INDIA
208529,Bayer Peru SA,PERU
B8J7GJ,Baysan Trafo Radyatorleri Sanayi Ve Ticaret AS,TURKEY
B9N3SQ,BB Seguridade Participacoes SA,BRAZIL
526315,BBI Development SA,POLAND
208017,BBVA Banco Continental SA,PERU
207252,Bbva Brasil Sa Com Npv,BRAZIL
207017,BBVA Colombia SA Class B,COLOMBIA
608650,BCB Bhd.,MALAYSIA
B79RCD,BCB Finance Limited,INDIA
B03PLB,BCC Fuba India Ltd.,INDIA
609872,BCL Industries & Infrastructures Limited,INDIA
208063,Bco Bandeirantes Com Npv,BRAZIL
206778,Bco Bandeirantes I Com Npv,BRAZIL
206781,Bco Bandeirantes Prf Npv,BRAZIL
206790,Bco Banestado Sa Com Npv,BRAZIL
207966,Bco Banorte Sa Com Npv,BRAZIL
211434,Bco Bemge Sa Com Npv,BRAZIL
207476,Bco Bice Npv,CHILE
267491,Bco Colpatria Cop6.450,COLOMBIA
207993,Bco Cred Nacional Com Npv,BRAZIL
208075,Bco Crefisul Sa Com Npv,BRAZIL
206764,Bco Crefisul Sa Prf Npv,BRAZIL
209677,Bco De Colombia Cop100,COLOMBIA
212157,Bco Economico Sa Com Npv,BRAZIL
207006,Bco Economico Sa Prf Npv,BRAZIL
207012,Bco Est Pernambuco Com Npv,BRAZIL
208018,Bco Est Pernambuco Prf Npv,BRAZIL
207066,Bco Est Sta Catari Prf'B'Npv,BRAZIL
212700,Bco Estado Piaui Com Npv,BRAZIL
607393,Bco Fil Sav&Mortga Php100,PHILIPPINES
206940,Bco Frances E Br Com Npv,BRAZIL
206975,Bco Internacional Ser'B'Mxn2,MEXICO
263256,Bco Internacional Ser'O'Mxn2,MEXICO
257483,Bco Mercan S Paulo Com Npv,BRAZIL
207577,Bco Nacional Sa Com Npv,BRAZIL
207974,Bco Santander Noro Com Npv,BRAZIL
207463,Bco Santiago Npv Ser'A',CHILE
207382,Bco Sudamericano Com Npv Ser'C',CHILE
226844,Bco Sudamericano Com Pen1,PERU
210593,Bco Sudameris Bras Com Npv,BRAZIL
207728,Bco Union Colombia Cop4,COLOMBIA
B8Q5RT,BCP Capital S.A.A.,PERU
B19DF8,BCT Technology Bhd,MALAYSIA
637369,BDH Industries Limited,INDIA
607896,Bdni(Bk Dagang Nas Idr1000(Alien Mkt),INDONESIA
667835,"BDO Leasing & Finance, Inc.",PHILIPPINES
B5VJH7,"BDO Unibank, Inc.",PHILIPPINES
608865,Bearing Man Npv,SOUTH AFRICA
608882,Beatrix Mines Ltd.,SOUTH AFRICA
B7NLY5,Beauty Community PCL,THAILAND
672832,"BEC World Public Co., Ltd.",THAILAND
B03HNM,Beckons Industries Limited,INDIA
B404G8,Bedmutha Industries Limited,INDIA
B08HH6,Beeyu Overseas Ltd.,INDIA
B601MS,"Befar Group Co., Ltd. Class A",CHINA
657384,Beget Holdings Ltd.,SOUTH AFRICA
612186,Behavior Tech Computer Corp.,TAIWAN
608489,Beige Holdings Limited,SOUTH AFRICA
639856,"BEIH-Property Co., Ltd. Class A",CHINA
658097,"Beihai Gofar Marine Biological Industry Co., Ltd. Class A",CHINA
609115,"Beijing Aerospace Changfeng Co., Ltd. Class A",CHINA
B00GP8,"Beijing Airport High-Tech Park Co., Ltd. Class A",CHINA
654582,"Beijing AriTime Intelligent Control Co., Ltd. Class A",CHINA
631730,"Beijing Bashi Media Co., Ltd. Class A",CHINA
637709,"Beijing Capital Co., Ltd. Class A",CHINA
632088,"Beijing Capital Development Co., Ltd. Class A",CHINA
609118,"Beijing Capital Retailing Group Co., Ltd. Class A",CHINA
B77B4H,Beijing Cuiwei Tower Co. Ltd. Class A,CHINA
611290,"Beijing Dalong Weiye Real Estate Development Co., Ltd. Class A",CHINA
B00LM8,"Beijing Dynamic Power Co., Ltd. Class A",CHINA
608958,"Beijing Electronic Zone Investment and Development Co., Ltd. Class A",CHINA
631732,"Beijing Gehua CATV Network Co., Ltd. Class A",CHINA
B3SDKF,"Beijing Haohua Energy Resource Co., Ltd. Class A",CHINA
642457,"Beijing Hualian Hypermarket Co., Ltd. Class A",CHINA
625814,"Beijing Huaye Realestate Co., Ltd. Class A",CHINA
652333,Beijing Jingneng Power Co Ltd Class A,CHINA
B6R0L7,"Beijing Jingyuntong Technology Co., Ltd. Class A",CHINA
669154,"Beijing SanYuan Foods Co., Ltd. Class A",CHINA
B54D7N,"Beijing Sifang Automation Co., Ltd. Class A",CHINA
B00X6G,"Beijing Teamsun Technology Co., Ltd. Class A",CHINA
611666,Beijing Tiantan Biological Products Corporation Limited Class A,CHINA
600354,"Beijing Tongrentang Co., Ltd. Class A",CHINA
609116,"Beijing Urban & Rural Trading Centre Co., Ltd. Class A",CHINA
613823,"Beijing Urban Construction Investment & Development Co. , Ltd. Class A",CHINA
628743,"Beijing Vantone Real Estate Co., Ltd. Class A",CHINA
609117,"Beijing Wangfujing Department Store (Group) Co., Ltd. Class A",CHINA
667450,"Beijing Zhongchuang Telecom Test Co., Ltd. Class A",CHINA
611552,"Beiqi Foton Motor Co., Ltd. Class A",CHINA
228667,Belapart S/A,BRAZIL
612823,Belapur Industries Limited,INDIA
B05BTD,Bell Agromachina Ltd,INDIA
616476,Bell Ceramics Limited,INDIA
609579,Bell Equipment Limited,SOUTH AFRICA
B0SY70,Bellary Steel & Alloys Ltd.,INDIA
609018,Belle Corp.,PHILIPPINES
B5BFZ2,BELON OAO,RUSSIA
B2R2ZY,Belton Financial Holding,EGYPT
B1VZFK,Bematech S.A.,BRAZIL
B03RPD,Bemco Hydraulics Limited,INDIA
613970,BEML Limited,INDIA
B65MJQ,Benalec Holdings Bhd.,MALAYSIA
B03LH1,Benares Hotels Limited,INDIA
B00VW4,Benedes Hi-Tech In Krw500,SOUTH KOREA
B4XY9X,Benefit Systems SA,POLAND
B3WYRT,Bengal & Assam Co. Ltd.,INDIA
638883,Bengal Tea & Fabrics Ltd,INDIA
609187,Benguet Corp. Class A,PHILIPPINES
669416,Benq Materials Corporation,TAIWAN
643199,BenQ Medical Technology Corp.,TAIWAN
B6TBZL,Benzo Petro International Limited,INDIA
B03MPT,Berdan Tekstil Sanayi ve Ticaret A.S.,TURKEY
209321,Bergamo Cia Indust Com Npv,BRAZIL
B02GHJ,Berger Paints India Limited,INDIA
637464,Berjaya Assets Bhd.,MALAYSIA
B0S5CY,Berjaya Capital Myr1(Post Consolida,MALAYSIA
B0W1VM,Berjaya Corp. Bhd.,MALAYSIA
B58PZN,Berjaya Food Bhd.,MALAYSIA
B0RY9Y,Berjaya Land Bhd.,MALAYSIA
636413,Berjaya Media Bhd.,MALAYSIA
618297,"Berjaya Philippines, Inc.",PHILIPPINES
B42SX7,Berjaya Retail Bhd Myr0.50,MALAYSIA
633156,Berjaya Sports Toto Bhd.,MALAYSIA
B3PYY1,Berkosan Yalitim ve Tecrit Maddeleri UEretim ve Ticaret A.S.,TURKEY
609401,Berli Jucker Public Co. Ltd.,THAILAND
609407,Berliet Maroc Mad100,MOROCCO
B3DLW6,Berling S.A.,POLAND
691089,Bertam Alliance Bhd.,MALAYSIA
614812,Bervin Investment & Leasing Ltd.,INDIA
B059FF,Beryl Drugs Limited,INDIA
B0567S,Beryl Securities Limited,INDIA
608466,BES Engineering Corp.,TAIWAN
209478,Besalco S.A.,CHILE
B01G5T,Besco Pneumatic Co Twd10,TAIWAN
B03MPV,Besiktas Futbol Yatirimlari Sanayi ve Ticaret A.S.,TURKEY
B8KRFP,Beskidzkie Biuro Consultingowe SA,POLAND
614396,Best & Crompton Engg Ltd.,INDIA
630018,Best Cut Zar0.00139,SOUTH AFRICA
BGLC5C,Best Eastern Hotels Limited,INDIA
698403,"Best Friend Technology Co., Ltd.",TAIWAN
529652,BEST S.A.,POLAND
643172,Bestcom Infotech Corp.,TAIWAN
B02PD5,"Bestec Power Electronics Co., Ltd",TAIWAN
652691,Bestflow Inc Krw500,SOUTH KOREA
681710,Besttone Holding Co. Ltd. Class A,CHINA
680138,"BesTV New Media Co., Ltd. Class A",CHINA
B04DKC,Beta Kappa Investments Ltd.,INDIA
B00GQJ,Betacom S.A.,POLAND
B3YBSJ,Betex India Ltd.,INDIA
B9688B,Betomax Polska SA Class C,POLAND
B28YRC,Better World Green Public Co. Ltd.,THAILAND
609806,Beverage And Consumer Ind Hldgs Zar0.01,SOUTH AFRICA
B7TRC8,Beyaz Filo Oto Kiralama AS,TURKEY
B4JT2R,BeyondPV Co. Ltd.,TAIWAN
B4PL8H,BF Investment Limited,INDIA
B03JNJ,BF Utilities Ltd.,INDIA
650981,BG T & A Co.,SOUTH KOREA
B4NJ9W,BGE Spolka Akcyjna,POLAND
B03Q1N,BGIL Films & Technologies Limited,INDIA
B29NPH,BGR Energy Systems Limited,INDIA
B0131P,"BGRIMM Magnetic Materials & Technology Co., Ltd. Class A",CHINA
B4NVWR,BGS Energy Plus,POLAND
B29746,BGT Corp. Public Co. Ltd.,THAILAND
B1P1GJ,"BH Co., Ltd.",SOUTH KOREA
B03G26,Bhagawati Gas Limited,INDIA
B05BTP,Bhagawati Oxygen Ltd.,INDIA
631518,Bhageria Dye Chem Ltd.,INDIA
B059FG,Bhagheeratha Engineering Ltd.,INDIA
B0BGWC,Bhagiradha Chemicals & Industries Ltd.,INDIA
B03G27,Bhagwandas Metals Limited,INDIA
B04875,Bhagwati Autocast Limited,INDIA
B065K0,Bhagyanagar India Limited,INDIA
B04FS9,Bhagyashree Leasing & Finance Ltd.,INDIA
B03V47,Bhandari Hosiery Exports Ltd,INDIA
B92D72,Bhanot Construction & Housing Ltd.,INDIA
673707,Bhansali Engineering Polymers Ltd.,INDIA
B03PLP,Bharat Agri Fert & Realty Ltd.,INDIA
B1VQHQ,Bharat Bhushan Finance & Commodity Brokers Limited.,INDIA
B0JGGR,Bharat Bijlee Limited,INDIA
613971,Bharat Electronics Limited,INDIA
B0C1DM,Bharat Forge Ltd,INDIA
656393,Bharat Gears Limited,INDIA
B6SNRV,Bharat Heavy Electricals Limited,INDIA
609856,Bharat Heavy Electricals Ltd.,INDIA
609869,Bharat Hotels Limited,INDIA
B02YC1,Bharat Immunologicals & Biologicals Corp. Ltd.,INDIA
609972,Bharat Petroleum Corporation Limited,INDIA
656394,Bharat Rasayan Limited,INDIA
B1YBTC,Bharat Seats Limited,INDIA
B886KH,Bharat Textiles & Proofing Industries Ltd.,INDIA
B0520X,Bharati Shipyard Limited,INDIA
B4MYR1,Bharatiya Global Infomedia Limited,INDIA
644232,Bharti Airtel Limited,INDIA
B92P9G,Bharti Infratel Ltd.,INDIA
620657,Bhartiya International Limited,INDIA
637719,Bhatia Industries & Infrastructure Limited,INDIA
B2QVFX,Bheema Cements Limited,INDIA
B23CS0,BHG S.A. - Brazil Hospitality Group,BRAZIL
B0N0Q9,"BHI Co., Ltd.",SOUTH KOREA
621739,BHI Holdings Inc.,PHILIPPINES
B03JNL,Bhilwara Spinners Limited,INDIA
B4W6S3,Bhilwara Technical Textiles Limited,INDIA
B0THT6,Bhk Krw500,SOUTH KOREA
B0567W,Bhoruka Aluminium Limited,INDIA
B29H5B,BHS Industries Bhd.,MALAYSIA
640486,Bhuruka Gases Inr2.5,INDIA
628852,Bhushan Steel Limited,INDIA
B03G2B,Bhuwalka Steel Industries Limited,INDIA
207995,Bicecorp S.A.,CHILE
209547,Bicicletas Monark S.A.,BRAZIL
610857,Bid Corp Zar0.05,@NA
671915,Bidbee Zar0.10 (Regd),SOUTH AFRICA
672205,Bidvest Group Ltd.,SOUTH AFRICA
B05GS1,"BIEMT Co., Ltd.",SOUTH KOREA
B02QXF,Big Beam Construct Twd10,TAIWAN
677772,"Big C Supercenter Public Co., Ltd.",THAILAND
B23XLH,"BIG SUN Energy Technology, Inc.",TAIWAN
B02YC4,Bihar Sponge Iron Limited,INDIA
609852,Bijoux Holdings,THAILAND
B9L6SN,Bil Energy Systems Limited,INDIA
672567,Bilcare Limited,INDIA
B4YB5S,Bilici Yatirim Sanayi ve Ticaret A.S.,TURKEY
612513,Billboard Holdings Zar0.01,SOUTH AFRICA
620759,"Billion Electric Co., Ltd.",TAIWAN
651753,"Billionton Systems, Inc.",TAIWAN
B03PLQ,Bilpower Limited,INDIA
613570,Bilt Paper Hldgs L Inr10,INDIA
B0D000,BIM Birlesik Magazalar A.S.,TURKEY
610037,BIMB Holdings Bhd.,MALAYSIA
B3TCPG,Bimeks Bilgi Islem ve Dis Ticaret A.S.,TURKEY
630586,Bimetal Bearings Limited,INDIA
B015YR,"Bin Chuan Enterprise Co., Ltd.",TAIWAN
610056,Bina Darulaman Bhd.,MALAYSIA
608483,Bina Goodyear Bhd.,MALAYSIA
610051,Bina Puri Holdings Bhd.,MALAYSIA
653466,Binaik Equity Bhd Myr0.75,MALAYSIA
B1Y47L,Binani Cement Ltd Inr10,INDIA
613976,Binani Industries Limited,INDIA
B76B9B,Binary Helix SA,POLAND
B2QVDQ,Binayak Tex Processors Ltd,INDIA
638337,"Binex Co., Ltd",SOUTH KOREA
609823,"Binggrae Co., Ltd",SOUTH KOREA
609826,Binny Ltd.,INDIA
BB7CMN,Binny Mills Ltd.,INDIA
608619,Bintai Kinden Corp. Bhd.,MALAYSIA
634569,Bintulu Port Holdings Bhd.,MALAYSIA
615218,Bintuni Minaraya,INDONESIA
B7JLMP,Bio Green Papers Ltd.,INDIA
B29H55,Bio Osmo Bhd.,MALAYSIA
B0ZNPL,Bio-PAPPEL SAB de CV,MEXICO
209777,Biobras-Bio Brasil Com Npv,BRAZIL
210004,Biobras-Bio Brasil Prf Npv,BRAZIL
209779,Biobras-Bio Brasil Prf'B'Npv,BRAZIL
209778,Biobras-Bio Brasil Prf'C'Npv,BRAZIL
413987,Biocel Paskov,CZECH REPUBLIC
674125,Biocon Limited,INDIA
B94CRV,Biodenta Corp.,TAIWAN
B4NGLJ,Bioerg Spolka Akcyjna,POLAND
B8FRZW,Biofactory SA,POLAND
630883,Biofil Chemicals & Pharmaceuticals Ltd.,INDIA
B5LQ0L,Biogened SA,POLAND
635306,Bioland Ltd.,SOUTH KOREA
B7HKL8,Biomass Energy Project SA,POLAND
B56TW4,Biomax Biocombustibles SA,COLOMBIA
B66LP2,Biomax S.A.,POLAND
B5W0MX,Biomaxima SA,POLAND
B6W3MY,Biomed-Lublin Wytwornia Surowic I Szczepionek SA,POLAND
B6SKYC,Biomedical Computer Technologies Nyrt.,HUNGARY
284941,Biomm S.A.,BRAZIL
B0VTXZ,Bioneer Corporation,SOUTH KOREA
B02R6X,Bionet Corp.,TAIWAN
B3ZVC0,Bionime Corporation,TAIWAN
B03PLV,Biopac India Corporation Limited,INDIA
B5M3XL,"Bioptik Technology, Inc.",TAIWAN
B0L7LF,BioScience Brands Limited,SOUTH AFRICA
B7FD4Z,Biosev SA,BRAZIL
B01XPF,Biosis Group Bhd.,MALAYSIA
625895,Biosmart Co. Ltd.,SOUTH KOREA
631505,"Biospace Co., Ltd",SOUTH KOREA
613919,Biostar Microtech International Corp.,TAIWAN
643179,Bioteque Corporation,TAIWAN
B17P4K,BIOTON S.A.,POLAND
B27YFK,"Biotoxtech Co., Ltd.",SOUTH KOREA
B28VFF,Bipromet S.A.,POLAND
B42KTG,Birko Birlesik Koyunlulular Mensucat Ticaret ve Sanayi A.S.,TURKEY
B1VQHR,Birla Capital & Financial Services Ltd.,INDIA
615262,Birla Corporation Limited,INDIA
B3BCGX,Birla Cotsyn (India) Limited,INDIA
610423,Birla Ericsson Optical Limited,INDIA
609976,Birla Global Fin Inr10,INDIA
643341,Birla Machining & Toolings Limited,INDIA
B3XR69,Birla Pacific Medspa Limited,INDIA
613255,Birla Power Solutions Limited,INDIA
B04DKG,Birla Precision Technologies Limited,INDIA
B04LMP,Birla Shloka Edutech Limited,INDIA
BCRYN2,Birla Transasia Carpets Limited,INDIA
B03MPW,Birlik Mensucat Ticaret ve Sanayi Dsletmesi A.S.,TURKEY
B03MPX,Bisas Tekstil Sanayi ve Ticaret A.S.,TURKEY
619951,Bisco Misr,EGYPT
B0LLBV,Bisil Plast Limited,INDIA
B57C0Q,Bison Electronics Inc.,TAIWAN
618143,"Bit Computer Co., Ltd.",SOUTH KOREA
633490,BITS Ltd. (India),INDIA
B2416Z,"Bixolon Co., Ltd.",SOUTH KOREA
B459RS,Bizim Toptan SatiG Magazalari A.g.,TURKEY
B5SG8Y,Bizlink Holding Inc.,TAIWAN
631210,Bk Arta Niaga Ke Idr500,INDONESIA
601955,Bk Bira Idr500,INDONESIA
619831,Bk Danpac Idr500,INDONESIA
421665,Bk Gdanski Sa Pln2.5,POLAND
617009,Bk Global Internas Idr100,INDONESIA
612863,Bk Indovest Idr500,INDONESIA
612862,Bk Indovest Idr500 (Alien Mkt),INDONESIA
607649,Bk Islam Malaysia Myr1,MALAYSIA
608576,Bk Of Punjab Ltd Inr10,INDIA
608536,Bk Palapa Idr500,INDONESIA
608535,Bk Palapa Idr500(Alien Mkt),INDONESIA
667759,Bk Pdfci Idr1000,INDONESIA
607977,Bk Pdfci Idr1000(Alien Mkt),INDONESIA
607372,Bk Pikko Idr500,INDONESIA
607443,Bk Surya Indonesia Idr500,INDONESIA
607739,Bk Tiara Idr1000(Alien Mkt),INDONESIA
615211,Bk Umum Nasional Idr1000,INDONESIA
612154,Bk Umum Nasional Idr1000(Alien Mkt),INDONESIA
605246,Bk Universal Series 'A' Idr500,INDONESIA
614556,Bk Universal Series 'B' Idr10,INDONESIA
B03JNQ,BKV Industries Limited,INDIA
524612,Black Lion Narodowy Fundusz Inwestycyjny S.A.,POLAND
B56VXN,Black Pearl Capital S.A.,POLAND
653264,"Black Peony (Group) Co., Ltd. Class A",CHINA
B3YJZJ,Black Point SA,POLAND
B1VQHS,Black Rose Industries Limited,INDIA
BBDR8K,Blackstar Group SE,MALTA
B0BHDQ,Blanco Y Negro S.A.,CHILE
B7RCSQ,Blazon Marbles Limited,INDIA
656395,BLB Limited,INDIA
665489,BLD Plantation Bhd.,MALAYSIA
