Emerging market by exchanges,,
,,
,,Domicile
B138C7,Abu Dhabi Ship Building Company,UNITED ARAB EMIRATES
B18SRH,Abyara Planejamento Imob,BRAZIL
B6QPBP,AC ALROSA OJSC,RUSSIA
B6VF4Q,AC Spolka Akcyjna,POLAND
B0T8FJ,ACAP Advisory Public Co. Ltd.,THAILAND
671556,Acard Technology Corp.,TAIWAN
B3RT88,Acartus SA,POLAND
667645,Acbel Polytech Inc.,TAIWAN
615591,ACC Limited,INDIA
B1GF3S,Accel Frontline Limited,INDIA
298765,Accel SA de CV Class B,MEXICO
203656,Accel Sa De Cv Com Ser'C'Npv (Non-,MEXICO
200899,Accel Sa De Cv Ser'A2'Npv,MEXICO
B06C7X,Accel Transmatic Limited,INDIA
629299,Accelya Kale Solutions Ltd.,INDIA
B02YTF,Accentia Technologies Ltd.,INDIA
B1HMKS,Accentuate Ltd.,SOUTH AFRICA
B3FH05,Acclaim Industries Limited,INDIA
611639,Accord Technologie Zar0.01,SOUTH AFRICA
600521,Accton Technology Corp.,TAIWAN
643404,Accupix Inc.,SOUTH KOREA
611633,Accurate Transformers Limited,INDIA
631497,Accuris Co Ltd.,SOUTH KOREA
B1G2KG,Accurus Scientific Twd10,TAIWAN
B5BGS7,Ace & Partners Corp.,SOUTH KOREA
600685,"Ace Bed Co., Ltd.",SOUTH KOREA
658199,Ace Digitech Co Ltd,SOUTH KOREA
B04KVW,ACE Edutrend Limited,INDIA
626180,Ace Electronics Krw500,SOUTH KOREA
672884,"ACE Hightech Co., Ltd",SOUTH KOREA
662733,"ACE Pillar Co., Ltd",TAIWAN
232029,Ace Seguros SA Compania de Seguros y Reaseguros,PERU
673218,Ace Software Exports Limited,INDIA
B125V9,ACE Technologies Corp,SOUTH KOREA
BF5SGY,Ace Tours Worldwide Ltd.,INDIA
611125,Acelon Chemicals & Fiber Corporation.,TAIWAN
205406,Acer Computec Lati Com Npv,MEXICO
600585,Acer Incorporated,TAIWAN
200529,Acerias Paz del Rio SA,COLOMBIA
