477467,Sandvik Ab Ser'A'Swkr25,@NA
79264,Securicor Gp Ord 25P,@NA
80409,Sheraton Secs Intl Ord 10P,@NA
479198,Sig Schw Ind Hg Ag Ptg Certs Szf20,@NA
481315,Skandia Intl Hldg 'A'Free Swkr20,@NA
476710,Skf Ab 'B'Swkr12.5,@NA
484467,Stena Line Ser'B'Swkr30,@NA
87002,Tace Ord 10P,@NA
88160,Telephone Rentals Ord 25P,@NA
660110,Tmoc Resources A$0.25(Aust Reg Aus,@NA
3305,Tokyo Ramie Spinning Co. Ltd.,@NA
46320,Tr Ind & Gen Trust Ord 25P,@NA
490243,Trelleborg Ab 'C'Swkr25,@NA
690651,Trust Bank New Zea Nzd0.50,@NA
639980,TVE Holdings,@NA
91714,United Friendly Gp  Ord 10P (A),@NA
91708,United Friendly Group 'B',@NA
492253,Urbis Sa Sppt500 Ser'2',@NA
91913,Utd Newspapers Nw Ord 25P(Fp/Pal-1,@NA
691715,Utd Plantation $M1,@NA
692617,Valdora Mnls N.L. Aud0.20,@NA
95750,Westpool Inv Tst Ord 25P,@NA
696098,Whitcoulls Gp Ltd Nzd0.10,@NA
496757,Wienerberger Immob Ats1000,@NA
498676,Yhtyneet Paperit Ord(Kanta)Fim20,@NA
8099,Yuasa Trading Co. Ltd.,@NA
698937,Zapopan Nl Aud 0.25,@NA
98954,Zeneca Group Ord 25P(Fp/Pal-12/7,@NA
499102,Zurcher Ziegeleien Ptg Szf100,@NA
ARCO,"Arcos Dorados Holdings, Inc. Class A",ARGENTINA
DXO.1,Disco S A Sponsored Adr,ARGENTINA
NTL,Nortel Inversora SA Sponsored ADR Pfd Class B,ARGENTINA
B05K84,1300 Smiles Limited,AUSTRALIA
612032,2 Park St Trust Units Npv,AUSTRALIA
B0CMCK,360 Capital Group Limited,AUSTRALIA
B94C3B,360 Capital Industrial Fund,AUSTRALIA
B28TDZ,3D Oil Limited,AUSTRALIA
B1LJ50,3D Resources Limited,AUSTRALIA
624036,3Q Holdings Ltd.,AUSTRALIA
633867,A B C Learning Centres Ltd Shs,AUSTRALIA
605871,A.G.D. Mining Ltd Npv,AUSTRALIA
629620,A.P. Eagers Limited,AUSTRALIA
B80LWQ,A1 Consolidated Gold Ltd.,AUSTRALIA
B3W5JQ,A1 Investments & Resources Ltd,AUSTRALIA
B59Q6B,AACL Holdings Limited,AUSTRALIA
665586,AAPC Ltd.,AUSTRALIA
608646,Aapt Limited Npv,AUSTRALIA
628301,AAT Corp. Ltd.,AUSTRALIA
656570,Abacus Property Group,AUSTRALIA
653758,Abb Grain Npv,AUSTRALIA
652553,Abelle Limited,AUSTRALIA
657430,Aberdeen Leaders Ltd.,AUSTRALIA
600310,Aberfoyle Ltd.,AUSTRALIA
600335,Abigroup Limited Npv,AUSTRALIA
606107,ABM Resources NL,AUSTRALIA
B063WR,Abra Mining Ltd.,AUSTRALIA
B3L4P3,Acacia Coal Limited,AUSTRALIA
600558,Acacia Resources,AUSTRALIA
636162,Academies Australasia Group Limited,AUSTRALIA
B142GM,A-Cap Resources Limited,AUSTRALIA
B0BMKJ,Accent Resources NL,AUSTRALIA
B3M9T0,Acer Energy Ltd.,AUSTRALIA
600071,Acm Gold,AUSTRALIA
B031K6,Acrux Limited,AUSTRALIA
B246PC,Actinogen Limited,AUSTRALIA
600649,Action Holdings A$1,AUSTRALIA
B0XLGG,Activex Limited,AUSTRALIA
659484,Acuvax Limited,AUSTRALIA
610324,Adacel Technologies Limited,AUSTRALIA
636112,Adamus Resources Ltd,AUSTRALIA
619866,Adavale Resources Limited,AUSTRALIA
618152,Adcorp Australia Limited,AUSTRALIA
615792,Adeffective Limited,AUSTRALIA
622067,Adelaide Bank,AUSTRALIA
600688,Adelaide Brighton Ltd.,AUSTRALIA
B1XGHW,Adelaide Energy,AUSTRALIA
B233LR,Adelaide Mngd Fds Npv,AUSTRALIA
600765,Adelaide Resources Limited,AUSTRALIA
624247,Adelphi Energy Ltd Npv(Post Reconstruc,AUSTRALIA
611707,ADG Global Supply Limited,AUSTRALIA
B12TY1,Aditya Birla Minerals Limited,AUSTRALIA
